                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2727,                 1.1656,                 1.4035,                0.52706,                0.83384,                0.65788,                0.33893,                 1.5276,                 1.6581,                 1.7967,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.2707,                 1.1973,                  1.355,                0.53065,                0.61092,                0.57698,                0.33399,                  1.452,                 1.3611,                 1.6409,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.2165,                 1.1323,                 1.3607,                 0.5301,                0.67683,                 0.5636,                0.30983,                 1.3956,                 1.3773,                  1.695,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.3009,                 1.1699,                 1.4607,                0.57614,                0.59678,                0.58211,                0.34725,                 1.3217,                 1.2352,                 1.5842,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.2484,                 1.1704,                 1.3986,                0.50666,                0.51809,                0.57706,                0.33267,                 1.3829,                 1.2517,                 1.5914,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.1615,                 1.1287,                 1.3195,                0.83132,                 0.5185,                0.61491,                0.35384,                 1.5161,                 1.2353,                  1.654,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.1552,                 1.0712,                 1.3321,                0.56037,                0.72195,                0.62162,                0.36387,                 1.4628,                 1.1946,                 1.6526,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.1693,                 1.0568,                 1.3461,                0.61823,                0.81516,                0.68669,                0.40084,                 1.3953,                 1.1734,                 1.6352,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.1496,                 1.0309,                 1.3174,                0.64063,                0.59776,                0.67856,                0.38897,                 1.4487,                 1.2545,                 1.5954,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.1604,                 1.0097,                 1.3173,                0.62148,                0.59437,                0.68996,                0.41144,                 1.2983,                 1.1359,                 1.5418,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.1633,                 1.0314,                 1.3233,                 0.5373,                0.70539,                0.68012,                0.44374,                 1.2876,                 1.2676,                 1.5472,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.1246,                 1.0358,                 1.2976,                0.63984,                0.62215,                 0.6444,                0.39662,                 1.2655,                 1.1263,                 1.5268,               0.000467,               0.000467,               0.000467
                     36,                 1.1064,                0.94994,                 1.2902,                0.64537,                0.64177,                0.65367,                0.40091,                  1.268,                 1.0823,                 1.5174,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.1728,                 1.0265,                  1.322,                0.66851,                0.63018,                0.67987,                0.41849,                 1.2935,                 1.1003,                 1.5721,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.0744,                0.94276,                 1.2824,                 0.6729,                0.64611,                0.70567,                0.43898,                 1.2856,                 1.0932,                 1.5653,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.0994,                0.99852,                 1.3176,                0.57119,                0.72511,                 0.6184,                0.37475,                 1.2635,                 1.1155,                 1.5005,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.0741,                0.94467,                 1.3021,                0.63474,                0.65369,                0.64484,                  0.398,                 1.2179,                 1.1314,                 1.4611,             0.00032553,             0.00032553,             0.00032553
                     41,                  1.045,                0.92407,                 1.2952,                0.60437,                0.76146,                 0.7163,                 0.4128,                 1.2642,                 1.1561,                 1.4827,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.0491,                0.93607,                 1.3204,                0.68114,                0.75886,                0.74471,                0.46624,                 1.2892,                 1.1044,                 1.5147,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.0286,                0.86855,                 1.2889,                0.67589,                0.79145,                0.78023,                0.49139,                 1.1965,                 1.0062,                 1.4726,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.0199,                0.82843,                 1.2608,                0.57777,                0.73852,                0.65024,                0.40809,                 1.1804,                0.99543,                  1.448,             0.00021235,             0.00021235,             0.00021235
                     45,                0.95934,                0.77823,                 1.2225,                0.64338,                0.75884,                0.71349,                0.43541,                 1.2172,                0.95974,                 1.4459,             0.00018406,             0.00018406,             0.00018406
                     46,                0.95212,                0.77332,                  1.263,                0.75168,                0.74599,                0.71197,                0.45987,                 1.2208,                0.93854,                 1.4612,             0.00015576,             0.00015576,             0.00015576
                     47,                0.95204,                0.79025,                 1.2496,                0.71639,                0.73851,                0.76412,                0.50779,                 1.2289,                0.94728,                 1.4617,             0.00012747,             0.00012747,             0.00012747
                     48,                0.94194,                0.76376,                 1.2441,                0.75242,                0.68882,                0.74899,                0.51155,                 1.1561,                0.94391,                 1.4247,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 0.8971,                0.78908,                 1.1728,                0.73666,                0.71331,                 0.7498,                0.49131,                 1.1404,                 0.9472,                 1.4228,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.88765,                0.71735,                 1.1941,                0.76028,                0.71331,                0.75402,                0.49629,                 1.1322,                0.94164,                 1.4178,             4.2584e-05,             4.2584e-05,             4.2584e-05
