pothole_id,pothole_area_mm2,Bags used 
1354,29583.333333333332,0.55
1355,172817.67955801106,3.0
1356,124236.55913978496,0.55
136,278626.8656716418,3.0
139,102320.98765432098,1.0
1406,26188.769414575865,8.0
1407,8181.818181818182,0.25
1413,44802.96080066723,0.25
1418,22667.91044776119,0.25
1420,21202.88248337029,0.25
1425,31717.22500659457,0.5
1427,134257.75978407558,1.0
1431,32813.00593631948,0.5
1440,98845.73502722324,1.0
1442,44623.87853692201,1.0
1443,34343.11534350403,0.25
1445,23922.39364188873,0.5
1449,45129.398080837454,0.5
1450,117769.73684210528,2.0
146,85412.31992051663,1.0
147,174552.02312138726,1.0
148,86476.45720287065,2.0
149,95485.82995951416,2.0
1501,125872.38285144568,0.5
1502,34172.211660329536,0.25
1503,15742.821473158552,0.25
1506,68467.26190476191,0.25
1507,34641.66534244399,0.25
1508,38877.752218205715,0.25
1509,39721.910112359554,0.5
1510,5037.474282355246,0.5
1511,46240.38461538462,0.5
1512,11235.676088617263,0.25
1514,30533.967391304348,0.5
1515,59103.83597883598,0.5
1517,49863.48302761965,0.5
1518,11218.039772727272,0.25
152,130333.33333333331,1.5
152,130333.33333333331,1.5
1521,25160.2732527588,0.25
1522,42977.138453634725,0.5
1526,25684.210526315783,0.5
1527,39457.89473684211,0.5
1528,44299.45054945055,0.5
1529,38863.63636363636,0.5
153,104880.62283737025,1.5
153,104880.62283737025,1.5
1531,135000.0,6.0
1532,221691.17647058825,2.5
1538,40952.233250620346,0.5
1539,116398.92904953143,1.0
1540,47699.6996996997,0.5
1541,75416.49735879723,0.25
1542,58481.473548939815,1.0
1543,51162.63028816677,1.0
1544,34571.42857142857,0.5
1545,70559.21052631579,0.5
1546,72864.79672234479,
1547,35561.90865155537,0.5
1550,38758.85390485765,0.5
1551,18330.434782608696,0.25
1552,50580.0,0.5
1553,69643.70007262164,1.0
1554,182361.4824717766,1.5
1555,14141.958041958042,0.25
1556,10351.801627276249,0.25
1557,21919.770773638968,0.5
1566,55746.2814645309,0.25
1567,41401.3986013986,0.25
1569,54806.545454545456,1.5
1572,232775.24038461535,1.5
1573,49033.13049357674,0.5
1579,53335.09583608725,0.25
158,31049.013515612864,0.5
158,31049.013515612864,0.5
1580,21595.380667236954,1.0
1581,31658.222319283686,0.5
1582,28897.22222222222,1.0
1583,45998.31479609032,1.0
1585,27769.04598490048,0.25
1586,67393.67816091955,1.0
1587,38892.59920789004,0.25
1591,7154.658324371884,0.25
1593,87393.16239316239,0.5
1594,32645.089285714286,0.5
1596,48193.635141192295,1.0
1598,233740.97007223943,2.5
1599,46456.8647197046,0.25
1609,50976.80049992188,0.5
161,137918.70789957134,1.5
161,137918.70789957134,1.5
1610,70278.98550724638,0.25
1611,293096.2219598583,2.0
1618,67832.07274581457,1.0
1620,114069.72955360053,2.0
1621,21057.04594511255,1.0
1622,77690.58295964125,0.5
1624,60521.536066424494,1.5
1625,24927.330733782343,0.5
1626,26369.126450177464,0.5
163,69668.31140350878,1.5
163,69668.31140350878,1.5
1630,74763.38958180485,1.0
1632,709020000.0,0.25
1635,17457.667541139996,0.5
1638,116792.25352112675,1.0
1639,26590.959524232203,0.25
1642,85708.59456635319,1.0
1643,82472.72727272726,1.0
1644,46826.6779949023,0.5
1648,112754.76067936182,1.0
165,77869.13580246914,1.0
165,77869.13580246914,1.0
1650,91420.13888888888,1.0
1652,28691.707494102702,0.5
1653,114035.08771929824,1.5
1654,42293.2476716109,0.5
1655,72057.17712914835,0.5
1657,62342.245989304814,1.0
1658,52912.689087971805,1.0
1659,111060.546875,1.0
166,239413.63636363635,2.0
166,239413.63636363635,2.0
1660,41580.188679245286,0.5
1661,47395.10354915698,0.5
1662,33846.304008328996,0.5
1663,72460.55995510382,1.0
1666,43141.76245210728,1.0
1667,62073.28605200946,0.5
1668,81407.95206971678,2.5
1669,43274.39024390244,
167,41722.55639097744,0.5
167,41722.55639097744,0.5
1671,310639.2914653784,2.5
1672,87612.19621291189,0.5
1673,73764.65500672688,0.5
1674,156891.84977403772,
1676,122678.32167832168,0.5
1683,92772.92273546956,1.5
1684,152655.22875816995,1.0
1685,135082.54716981133,1.5
170,94821.5811965812,1.0
170,94821.5811965812,1.0
171,17781.47071042792,0.5
171,17781.47071042792,0.5
173,20843.75,0.25
173,20843.75,0.25
174,47400.375939849626,0.5
174,47400.375939849626,0.5
175,72240.07197018378,0.5
175,72240.07197018378,0.5
176,66450.05120566055,1.5
176,66450.05120566055,1.5
177,34481.82974166778,0.5
177,34481.82974166778,0.5
184,51170.56856187291,1.0
184,51170.56856187291,1.0
185,41779.6499477534,0.5
185,41779.6499477534,0.5
188,35679.87567987568,0.5
188,35679.87567987568,0.5
190,95035.11235955056,0.5
190,95035.11235955056,0.5
191,118054.65191932335,1.5
191,118054.65191932335,1.5
1923,152589.88764044942,
1925,83704.42708333334,
1926,48856.54401490452,
1928,69495.3909726637,
1930,247310.39136302297,
1931,277616.27906976745,
1932,42299.937827515765,
1934,100178.10532780593,
1935,89545.45454545454,
1936,132301.52027027027,
1938,173012.62626262626,
1942,89024.45652173914,
1943,169548.87218045112,
1948,32181.29139072848,
1949,30951.08695652174,
1956,112808.93536121672,
1957,182991.70616113744,
1959,55599.80988593156,
1960,33909.42581300813,
1961,60592.315161603554,
1962,66561.70212765958,
1970,95497.38219895288,
1972,29196.0569550931,
1973,23869.432165929957,
1974,83719.54022988505,
1975,232925.1700680272,
1977,73879.87012987013,
198,42921.96007259528,1.0
198,42921.96007259528,1.0
1980,87500.0,
1981,57527.62430939227,
1989,156780.4775869292,
199,66017.61252446183,1.0
199,66017.61252446183,1.0
1994,241219.13580246913,
1995,56761.36363636363,
1998,53474.80106100795,
1999,67924.62845010616,
200,29405.286343612337,1.0
200,29405.286343612337,1.0
2000,306213.0177514793,
2001,105124.213836478,
2005,44946.74726540011,
2007,102036.83035714286,
2008,122195.3046953047,
2009,17039.92210321324,
2011,73615.38461538461,
2014,40728.59572859573,
2016,153151.0989010989,
2017,185712.0253164557,
2018,168620.73112073113,
2019,20398.039215686276,
202,44601.482854494905,0.5
202,44601.482854494905,0.5
2020,218421.61016949153,
2021,267911.1111111111,
2022,387168.01690736174,
2023,31004.40176070428,
2024,109346.7336683417,
2025,153192.9046563193,
2026,79321.78217821782,
2027,62960.63651591289,
2028,14127.58620689655,
203,41368.14024390244,0.5
203,41368.14024390244,0.5
204,33368.98395721925,1.5
204,33368.98395721925,1.5
206,84791.15479115478,1.0
206,84791.15479115478,1.0
207,48564.96710526315,0.5
207,48564.96710526315,0.5
211,178375.70621468927,1.5
211,178375.70621468927,1.5
212,201356.0645497137,2.5
212,201356.0645497137,2.5
214,175642.59485924113,1.5
214,175642.59485924113,1.5
217,38961.382746807845,0.5
217,38961.382746807845,0.5
218,123685.90831918508,1.0
218,123685.90831918508,1.0
219,117369.29922135704,1.0
219,117369.29922135704,1.0
224,200080.4093567251,0.5
224,200080.4093567251,0.5
225,57462.686567164186,0.5
225,57462.686567164186,0.5
228,52628.083491461104,1.0
228,52628.083491461104,1.0
230,169156.78524374176,2.0
230,169156.78524374176,2.0
231,49894.53125,1.0
231,49894.53125,1.0
239,34758.33333333333,1.0
239,34758.33333333333,1.0
240,88269.23076923078,1.0
240,88269.23076923078,1.0
241,161250.0,1.0
241,161250.0,1.0
242,110851.85185185184,2.0
242,110851.85185185184,2.0
243,140943.18181818182,1.0
243,140943.18181818182,1.0
244,45540.740740740745,1.0
244,45540.740740740745,1.0
245,35934.9593495935,0.5
245,35934.9593495935,0.5
246,176377.24550898204,3.0
246,176377.24550898204,3.0
247,17027.573529411762,0.5
247,17027.573529411762,0.5
249,137871.14845938375,1.0
249,137871.14845938375,1.0
250,154676.27494456762,1.0
250,154676.27494456762,1.0
251,241419.97466216216,2.0
252,59975.07552870091,0.5
253,51492.329149232915,0.5
254,139364.08106219428,1.0
255,82037.87878787878,1.0
256,81520.2305967759,1.0
257,69003.84615384616,0.5
258,67157.7315019938,0.5
259,51404.61997019374,0.5
260,126014.59510357816,1.5
262,48283.68794326241,1.0
263,74626.59789190402,1.5
264,27368.42105263158,0.5
265,96084.77412158392,0.5
268,40311.43506247633,0.5
269,173346.394984326,1.0
270,90393.444373265,1.0
271,39423.07692307692,0.5
276,101219.89202657808,1.0
277,120002.39693192714,1.0
278,149544.53441295546,2.0
279,149357.98455912233,1.0
280,86704.05352223534,1.0
283,167961.1111111111,1.0
284,224556.2130177515,1.0
285,89082.00602668963,0.5
286,26960.784313725493,0.5
287,33622.64150943396,0.5
288,35510.39697542533,0.5
289,67506.39931740615,0.5
290,39308.24750628497,0.5
291,165123.14268267862,1.0
292,47325.73891625616,0.5
294,48428.571428571435,0.5
295,123833.86581469647,1.0
296,54096.506941334526,0.5
297,54118.47178408693,0.5
298,79583.33333333333,1.0
300,132008.41009211054,1.0
308,156615.0348159727,2.0
309,199047.61904761905,0.5
310,56481.48148148148,0.5
311,49350.83977605972,0.5
312,29108.70268521514,0.25
313,26638.867033831622,0.5
315,10447.055057618438,0.5
316,104413.35740072202,1.5
317,56308.43715307759,1.0
318,97031.36086277849,1.0
319,33755.55745554036,0.25
320,73866.35944700461,1.0
321,51613.17567567568,1.5
322,123754.45544554456,1.5
323,149453.57142857142,1.5
324,54064.332844574776,0.25
325,66407.79883381924,0.5
326,242067.00816835108,2.0
327,60797.15035620548,0.5
328,32921.52292152292,0.5
329,36325.86367880486,0.5
330,57402.9933481153,0.5
331,159444.70188446093,1.0
332,57233.38048090523,0.5
333,30362.549197699063,0.5
334,78926.76767676767,0.5
335,33512.6404494382,0.5
336,45447.11538461538,0.5
337,58054.91990846682,0.5
344,143089.43089430896,2.0
345,90975.3231492362,1.0
348,37319.7222795078,0.5
349,159361.39332365748,3.0
350,103396.0396039604,1.5
39,69750.0,0.5
40,88666.66666666667,0.5
404,173333.33333333334,2.0
405,196981.27530364372,1.5
409,23311.546840958606,0.25
41,81103.44827586206,1.0
410,76481.48148148149,1.0
411,37099.77827050998,0.5
412,203798.62700228835,1.0
413,95951.08695652174,0.5
414,409826.77627715794,2.5
415,268381.5586419753,2.5
416,205521.22347066167,1.5
42,34787.43654822335,1.0
422,262584.61538461543,2.0
423,11176.470588235296,0.25
428,79780.82191780822,0.5
429,15389.346398415511,0.5
43,244684.25605536337,2.0
437,60628.14070351758,1.0
439,67750.45871559634,1.0
44,25540.691192865102,1.5
440,70120.35583464155,0.5
441,63752.86041189931,0.5
442,57684.47136563877,0.5
443,48575.81338244322,0.5
444,48107.34463276836,0.5
446,67030.84355258268,0.5
447,85604.8906048906,0.5
448,137117.64705882355,2.0
45,75058.52842809365,1.0
451,114102.5641025641,0.5
452,268584.31644691183,2.0
453,83619.79166666666,1.0
454,56666.666666666664,0.5
455,37974.53703703704,0.5
456,32211.764705882357,0.5
46,28048.780487804877,1.0
461,44884.34642280796,0.5
462,51517.433987813136,0.5
463,57905.660377358494,1.0
465,12766.608391608392,0.5
466,47133.30518018018,0.5
467,21347.718429430493,0.5
468,64500.0,0.5
469,71295.70158102766,0.5
47,53571.42857142857,0.5
471,46544.117647058825,0.5
472,74232.43243243244,0.5
475,45465.838509316774,0.5
477,34240.36281179138,0.5
478,191746.8844005157,1.5
48,34731.707317073175,2.0
49,33290.32258064516,1.0
497,16360.29411764706,2.0
498,11995.201919232308,0.5
50,10824.603814128392,1.0
500,42805.81550802139,1.0
51,53775.51020408163,1.0
52,110646.06741573034,0.5
53,199646.7991169978,2.0
54,98663.55140186916,0.5
55,181432.8231292517,2.0
56,105803.92156862744,2.0
57,96605.461393597,1.0
58,78032.03661327231,5.0
59,50379.56204379562,2.0
60,34253.73134328359,1.5
61,68996.97580645162,1.0
63,83597.97297297297,1.0
64,159529.41176470587,2.5
66,15403.726708074537,0.5
67,65114.526823387576,0.5
68,50000.0,1.0
69,38408.0310880829,1.0
78,74117.03239289446,1.0
79,83927.87524366472,1.5
80,172052.0402128918,1.5
81,46697.53086419753,0.5
82,189732.5581395349,1.5
83,312896.8253968254,2.0
84,61055.7208994709,1.0
85,63897.3897389739,0.5
87,96309.03790087462,1.0
88,24329.513133679106,0.5
89,38984.78260869565,1.5
90,115298.37875129357,1.0
923,169166.6666666667,2.0
923,169166.6666666667,2.0
925,75752.8735632184,0.5
925,75752.8735632184,0.5
926,113832.48730964468,0.5
926,113832.48730964468,0.5
928,82750.87887503994,0.5
928,82750.87887503994,0.5
929,152502.92945863603,1.0
929,152502.92945863603,1.0
930,90617.53614079196,3.0
930,90617.53614079196,3.0
931,92052.28207020134,2.5
931,92052.28207020134,2.5
932,44234.50658605053,0.5
932,44234.50658605053,0.5
933,87011.27089001166,0.5
933,87011.27089001166,0.5
934,81142.85714285714,0.5
934,81142.85714285714,0.5
935,95590.64807219032,0.5
935,95590.64807219032,0.5
936,179408.7837837838,1.0
936,179408.7837837838,1.0
938,204720.2380952381,4.0
938,204720.2380952381,4.0
939,213579.8449612403,1.5
939,213579.8449612403,1.5
940,28644.9864498645,1.0
940,28644.9864498645,1.0
941,36627.28249194415,2.5
941,36627.28249194415,2.5
942,93705.67375886525,0.5
942,93705.67375886525,0.5
943,99669.71148490589,1.0
943,99669.71148490589,1.0
944,312222.2222222222,0.5
944,312222.2222222222,0.5
945,20812.142403051497,0.25
945,20812.142403051497,0.25
946,89628.32840236687,1.5
946,89628.32840236687,1.5
951,73055.93966059081,0.5
951,73055.93966059081,0.5
952,68129.35323383084,0.5
952,68129.35323383084,0.5
953,84901.27758420442,0.5
953,84901.27758420442,0.5
956,105998.42146803474,0.5
956,105998.42146803474,0.5
966,181670.93117408908,2.5
967,54942.20677918026,0.5
968,74258.6430423509,1.0
969,39884.64124190197,0.5
972,58382.83828382838,0.25
973,35488.25493527034,0.25
978,74389.9018232819,0.5
979,93997.59903961584,1.0
980,52400.43668122271,0.5
981,60565.11350059737,0.25
982,129523.7391646966,2.0
983,77667.09677419355,1.0
984,,0.5
985,52862.22020568663,1.0
986,39960.29776674938,1.0
987,28724.734886250342,0.5
994,84793.43957914281,1.5
995,53193.26202430328,0.5
997,46600.98522167488,0.5
998,55320.61473237944,0.5
999,93098.63013698628,0.5
